Main Category,Subcategory,Question
Interior & Finishing,15.1 Kitchen Builder,Do you want to buy a new kitchen or only installation?
Interior & Finishing,15.1 Kitchen Builder,What is the size of the kitchen area (m²)?
Interior & Finishing,15.1 Kitchen Builder,Do you have plans or designs ready?
Interior & Finishing,15.1 Kitchen Builder,Will the old kitchen need to be removed?
Interior & Finishing,15.1 Kitchen Builder,When should the work be completed?
Interior & Finishing,15.2 Cabinetmaker / Furniture Maker,Do you want to buy custom furniture or only installation?
Interior & Finishing,15.2 Cabinetmaker / Furniture Maker,"What type of furniture do you need? (e.g., wardrobe, shelves, cabinets)"
Interior & Finishing,15.2 Cabinetmaker / Furniture Maker,Do you have dimensions or design sketches?
Interior & Finishing,15.2 Cabinetmaker / Furniture Maker,What material or finish do you prefer?
Interior & Finishing,15.2 Cabinetmaker / Furniture Maker,When do you need the furniture ready?
Interior & Finishing,15.3 Interior Decorator,Which rooms or spaces need decorating?
Interior & Finishing,15.3 Interior Decorator,Do you want a full redesign or minor updates?
Interior & Finishing,15.3 Interior Decorator,Do you need help sourcing furniture or accessories?
Interior & Finishing,15.3 Interior Decorator,Do you have a preferred style or mood board?
Interior & Finishing,15.3 Interior Decorator,When should the project start?
Interior & Finishing,15.4 Lighting Installer,"What kind of lighting needs installation? (e.g., ceiling lights, LED strips, outdoor)"
Interior & Finishing,15.4 Lighting Installer,How many fixtures need to be installed?
Interior & Finishing,15.4 Lighting Installer,Do you already have the lights or need recommendations?
Interior & Finishing,15.4 Lighting Installer,Are you replacing old fixtures?
Interior & Finishing,15.4 Lighting Installer,When should the installation be completed?
