Main Category,Subcategory,Question
Media & Creative,10.1 Drone Services,"What do you need drone footage for? (e.g., real estate, inspection, event)"
Media & Creative,10.1 Drone Services,"Do you need photos, video, or both?"
Media & Creative,10.1 Drone Services,What is the location of the project?
Media & Creative,10.1 Drone Services,Do you require editing or raw footage only?
Media & Creative,10.1 Drone Services,When should the drone service take place?
Media & Creative,10.2 Real Estate Photography,Is the property residential or commercial?
Media & Creative,10.2 Real Estate Photography,"Do you need interior, exterior, or both types of photos?"
Media & Creative,10.2 Real Estate Photography,What is the size of the property (m²)?
Media & Creative,10.2 Real Estate Photography,Do you need video or drone included?
Media & Creative,10.2 Real Estate Photography,When is the photo shoot required?
Media & Creative,10.3 Video Production,"What is the purpose of the video? (e.g., promo, testimonial, product)"
Media & Creative,10.3 Video Production,Do you need scriptwriting or voice-over services?
Media & Creative,10.3 Video Production,What is the expected duration of the video?
Media & Creative,10.3 Video Production,Do you have a location or studio preference?
Media & Creative,10.3 Video Production,When should filming begin?
Media & Creative,10.4 3D Scanning / Lidar,What type of object or space needs to be scanned?
Media & Creative,10.4 3D Scanning / Lidar,What is the approximate size of the area?
Media & Creative,10.4 3D Scanning / Lidar,"What output format do you need? (e.g., CAD, point cloud)"
Media & Creative,10.4 3D Scanning / Lidar,Is access to the site restricted?
Media & Creative,10.4 3D Scanning / Lidar,When should the scanning take place?
Media & Creative,10.5 Company Videos / Animations,What type of animation or company video do you need?
Media & Creative,10.5 Company Videos / Animations,Do you have a script or brand assets already?
Media & Creative,10.5 Company Videos / Animations,What is the expected length of the video?
Media & Creative,10.5 Company Videos / Animations,Do you require voice-over or subtitles?
Media & Creative,10.5 Company Videos / Animations,When should the project start?
Media & Creative,10.6 Graphic Design for Signs / Vehicles,"What type of design is needed? (e.g., car wrap, store signage)"
Media & Creative,10.6 Graphic Design for Signs / Vehicles,Do you need printing and installation included?
Media & Creative,10.6 Graphic Design for Signs / Vehicles,Do you have branding guidelines or logo files?
Media & Creative,10.6 Graphic Design for Signs / Vehicles,What is the size and surface type?
Media & Creative,10.6 Graphic Design for Signs / Vehicles,When do you need the design ready?
