Main Category,Subcategory,Question
Outdoor & Landscaping,16.1 Paver / Stoneworker,What type of paving or stonework is required?
Outdoor & Landscaping,16.1 Paver / Stoneworker,What is the total area to be covered (m²)?
Outdoor & Landscaping,16.1 Paver / Stoneworker,"What material do you want to use (e.g., natural stone, concrete)?"
Outdoor & Landscaping,16.1 Paver / Stoneworker,Do old surfaces need to be removed?
Outdoor & Landscaping,16.1 Paver / Stoneworker,When should the work start?
Outdoor & Landscaping,16.2 Landscape Designer,What is the size of the outdoor space (m²)?
Outdoor & Landscaping,16.2 Landscape Designer,"Is this a private garden, public area, or commercial site?"
Outdoor & Landscaping,16.2 Landscape Designer,"Do you want planting plans, paths, or lighting included?"
Outdoor & Landscaping,16.2 Landscape Designer,Do you need 3D visualizations or sketches?
Outdoor & Landscaping,16.2 Landscape Designer,When do you want to begin the project?
Outdoor & Landscaping,16.3 Fence & Gate Builder,Do you want to buy a new fence/gate or only install it?
Outdoor & Landscaping,16.3 Fence & Gate Builder,"What type of material do you prefer? (e.g., wood, metal, composite)"
Outdoor & Landscaping,16.3 Fence & Gate Builder,What is the total length or number of sections?
Outdoor & Landscaping,16.3 Fence & Gate Builder,Do you need removal of old fencing?
Outdoor & Landscaping,16.3 Fence & Gate Builder,When should the installation take place?
Outdoor & Landscaping,16.4 Garden Architect,Is this a new garden or a renovation?
Outdoor & Landscaping,16.4 Garden Architect,Do you want full planning or just consultation?
Outdoor & Landscaping,16.4 Garden Architect,"Do you need plans for lighting, irrigation, or seating?"
Outdoor & Landscaping,16.4 Garden Architect,What is the size and layout of the area?
Outdoor & Landscaping,16.4 Garden Architect,When do you want to start the planning?
