Main Category,Subcategory,Question
Home & Comfort,7.1 Smart Home Installation,"What type of smart home devices do you want installed? (e.g., lights, thermostat, doorbell)"
Home & Comfort,7.1 Smart Home Installation,How many devices need installation?
Home & Comfort,7.1 Smart Home Installation,Do you already have the devices?
Home & Comfort,7.1 Smart Home Installation,"What type of system should they connect to? (e.g., Alexa, Google, Apple)"
Home & Comfort,7.1 Smart Home Installation,When should the installation take place?
Home & Comfort,7.2 Home Theater Setup,Do you already have the equipment or need recommendations?
Home & Comfort,7.2 Home Theater Setup,How many speakers and devices are involved?
Home & Comfort,7.2 Home Theater Setup,Do you want wall mounting or in-wall wiring?
Home & Comfort,7.2 Home Theater Setup,What size is the room (approx. m²)?
Home & Comfort,7.2 Home Theater Setup,When do you want the setup done?
Home & Comfort,7.3 WiFi & Network Setup,Is this for a home or office setup?
Home & Comfort,7.3 WiFi & Network Setup,Do you need a new router/modem or just configuration?
Home & Comfort,7.3 WiFi & Network Setup,How many rooms/devices should be covered?
Home & Comfort,7.3 WiFi & Network Setup,Are there existing network issues?
Home & Comfort,7.3 WiFi & Network Setup,When do you need the service?
Home & Comfort,7.4 Curtain / Blind Installation,Do you already have the curtains or blinds?
Home & Comfort,7.4 Curtain / Blind Installation,How many windows are involved?
Home & Comfort,7.4 Curtain / Blind Installation,What type of wall will they be installed on?
Home & Comfort,7.4 Curtain / Blind Installation,Do you need removal of old fixtures?
Home & Comfort,7.4 Curtain / Blind Installation,When should installation take place?
Home & Comfort,7.5 TV Wall Mounting,What size is the TV?
Home & Comfort,7.5 TV Wall Mounting,Do you already have a wall mount?
Home & Comfort,7.5 TV Wall Mounting,What type of wall will it be mounted on?
Home & Comfort,7.5 TV Wall Mounting,Do you want cable concealment included?
Home & Comfort,7.5 TV Wall Mounting,When should mounting take place?
Home & Comfort,7.6 Babyproofing Services,"Which areas need to be babyproofed? (e.g., kitchen, stairs, furniture)"
Home & Comfort,7.6 Babyproofing Services,Do you already have safety products or need recommendations?
Home & Comfort,7.6 Babyproofing Services,"Do you need installation of gates, locks, or padding?"
Home & Comfort,7.6 Babyproofing Services,How many rooms are involved?
Home & Comfort,7.6 Babyproofing Services,When should babyproofing be completed?
Home & Comfort,7.7 Indoor Air Quality Check,"What are your concerns? (e.g., dust, mold, VOCs)"
Home & Comfort,7.7 Indoor Air Quality Check,Is this for a home or business?
Home & Comfort,7.7 Indoor Air Quality Check,Have you noticed symptoms or odors?
Home & Comfort,7.7 Indoor Air Quality Check,Do you need a full report with recommendations?
Home & Comfort,7.7 Indoor Air Quality Check,When should the inspection be done?
Home & Comfort,7.8 Furniture Restoration / Repair,What type of furniture needs restoration or repair?
Home & Comfort,7.8 Furniture Restoration / Repair,What is the condition or issue?
Home & Comfort,7.8 Furniture Restoration / Repair,Is it antique or modern furniture?
Home & Comfort,7.8 Furniture Restoration / Repair,Do you need pickup and delivery?
Home & Comfort,7.8 Furniture Restoration / Repair,When should the service be completed?
