Main Category,Subcategory,Question
Rental & Equipment,9.1 Scaffold Rental,What type of scaffolding do you need?
Rental & Equipment,9.1 Scaffold Rental,How high is the working area?
Rental & Equipment,9.1 Scaffold Rental,For how many days or weeks will you need it?
Rental & Equipment,9.1 Scaffold Rental,Is delivery and setup required?
Rental & Equipment,9.1 Scaffold Rental,When should the rental period start?
Rental & Equipment,9.2 Construction Tool Rental,Which tools do you need?
Rental & Equipment,9.2 Construction Tool Rental,How long do you need them for?
Rental & Equipment,9.2 Construction Tool Rental,Will you pick them up or need delivery?
Rental & Equipment,9.2 Construction Tool Rental,Do you need training or instructions?
Rental & Equipment,9.2 Construction Tool Rental,When do you need the tools?
Rental & Equipment,9.3 Container (Waste) Rental,What type of waste will be disposed?
Rental & Equipment,9.3 Container (Waste) Rental,What container size do you need (m³)?
Rental & Equipment,9.3 Container (Waste) Rental,How long will you need the container?
Rental & Equipment,9.3 Container (Waste) Rental,Where should the container be placed?
Rental & Equipment,9.3 Container (Waste) Rental,When should delivery and pickup take place?
Rental & Equipment,9.4 Mobile Toilet Rental,How many mobile toilets do you need?
Rental & Equipment,9.4 Mobile Toilet Rental,For how many days or weeks?
Rental & Equipment,9.4 Mobile Toilet Rental,Is it for a private or public event?
Rental & Equipment,9.4 Mobile Toilet Rental,Do you need servicing (cleaning and restocking)?
Rental & Equipment,9.4 Mobile Toilet Rental,When and where should the delivery occur?
Rental & Equipment,9.5 Mini Excavator with Operator,What type of digging or work is needed?
Rental & Equipment,9.5 Mini Excavator with Operator,How many hours/days will the machine be used?
Rental & Equipment,9.5 Mini Excavator with Operator,Is access to the work area easy for the machine?
Rental & Equipment,9.5 Mini Excavator with Operator,Do you require any additional attachments?
Rental & Equipment,9.5 Mini Excavator with Operator,When should the work begin?
Rental & Equipment,9.6 Lift/Hoist Services,What needs to be lifted or moved?
Rental & Equipment,9.6 Lift/Hoist Services,What height or weight is involved?
Rental & Equipment,9.6 Lift/Hoist Services,Is a trained operator required?
Rental & Equipment,9.6 Lift/Hoist Services,Is the lift for indoor or outdoor use?
Rental & Equipment,9.6 Lift/Hoist Services,When do you need the service?
Rental & Equipment,9.7 Generator Rental,Do you already have the generator or need to rent one?
Rental & Equipment,9.7 Generator Rental,What is the required power output (kW)?
Rental & Equipment,9.7 Generator Rental,For how long is the generator needed?
Rental & Equipment,9.7 Generator Rental,Is installation also required?
Rental & Equipment,9.7 Generator Rental,When should the rental start?
