Main Category,Subcategory,Question
Design & Planning,13.1 Architect,"What type of project is it? (e.g., new build, extension, renovation)"
Design & Planning,13.1 Architect,Do you already have a concept or floorplan?
Design & Planning,13.1 Architect,Do you need full planning and building permit drawings?
Design & Planning,13.1 Architect,What is the size of the building or area (m²)?
Design & Planning,13.1 Architect,When should the architect start?
Design & Planning,13.2 Structural Designer / Bouwkundige,What part of the structure needs assessment or design?
Design & Planning,13.2 Structural Designer / Bouwkundige,Do you already have architectural plans?
Design & Planning,13.2 Structural Designer / Bouwkundige,Is the project residential or commercial?
Design & Planning,13.2 Structural Designer / Bouwkundige,Are calculations or reinforcement plans needed?
Design & Planning,13.2 Structural Designer / Bouwkundige,When should the structural work begin?
Design & Planning,13.3 Land Surveyor,"What type of survey is needed? (e.g., boundary, topographic, staking out)"
Design & Planning,13.3 Land Surveyor,What is the size and location of the land?
Design & Planning,13.3 Land Surveyor,Is this for a legal document or planning application?
Design & Planning,13.3 Land Surveyor,Do you have existing land data or plans?
Design & Planning,13.3 Land Surveyor,When do you need the survey?
Design & Planning,13.4 Permit Consultant,What type of permit is required?
Design & Planning,13.4 Permit Consultant,Have you already submitted any documents?
Design & Planning,13.4 Permit Consultant,Do you need help preparing plans or technical documents?
Design & Planning,13.4 Permit Consultant,Which municipality is involved?
Design & Planning,13.4 Permit Consultant,When should the permit process begin?
Design & Planning,13.5 Energy Advisor,"What kind of building is it? (e.g., single-family home, office)"
Design & Planning,13.5 Energy Advisor,Do you need a renovation strategy or just energy certificate?
Design & Planning,13.5 Energy Advisor,Have you done an energy check before?
Design & Planning,13.5 Energy Advisor,Are you planning to apply for subsidies?
Design & Planning,13.5 Energy Advisor,When should the assessment take place?
Design & Planning,13.6 Interior Designer,"What type of space needs design? (e.g., living room, kitchen, office)"
Design & Planning,13.6 Interior Designer,Do you need 3D visuals or mood boards?
Design & Planning,13.6 Interior Designer,Do you want help with sourcing furniture or materials?
Design & Planning,13.6 Interior Designer,What is the approximate size of the area?
Design & Planning,13.6 Interior Designer,When do you want to start the design process?
Design & Planning,13.7 3D Renderings & Visualizations,"What type of project requires rendering? (e.g., architecture, real estate, product)"
Design & Planning,13.7 3D Renderings & Visualizations,Do you already have CAD or SketchUp files?
Design & Planning,13.7 3D Renderings & Visualizations,What level of detail and realism is required?
Design & Planning,13.7 3D Renderings & Visualizations,"Do you need exterior, interior, or both?"
Design & Planning,13.7 3D Renderings & Visualizations,When do you need the renderings delivered?
