Main Category,Subcategory,Question
Technical & Installation,14.1 Solar Panel Specialist,Do you already have solar panels or need supply and installation?
Technical & Installation,14.1 Solar Panel Specialist,What is the size of the roof (m²) or number of panels planned?
Technical & Installation,14.1 Solar Panel Specialist,Is the building residential or commercial?
Technical & Installation,14.1 Solar Panel Specialist,Do you want battery storage included?
Technical & Installation,14.1 Solar Panel Specialist,When should the installation take place?
Technical & Installation,14.2 Security System Installer,"What type of property requires security? (e.g., home, office, warehouse)"
Technical & Installation,14.2 Security System Installer,"What kind of system do you need? (e.g., camera, alarm, motion sensors)"
Technical & Installation,14.2 Security System Installer,Do you already have equipment or need a complete setup?
Technical & Installation,14.2 Security System Installer,How many access points or rooms need coverage?
Technical & Installation,14.2 Security System Installer,When should installation begin?
